Designator,Mid X,Mid Y,Rotation,Layer
C1,107.315,-89.408,0.0,top
C11,108.585,-73.719836,270.0,top
C12,118.565517,-73.661241,0.0,top
C2,119.604047,-78.055779,0.0,top
C3,107.315,-73.72445,270.0,top
C4,109.22,-89.408,0.0,top
C5,121.158,-73.177632,180.0,top
C8,118.559221,-72.73351,0.0,top
C9,123.302168,-79.072365,180.0,top
D1,124.5,-91.0,90.0,top
D2,124.5,-87.0,90.0,top
D3,111.506,-74.295,270.0,top
D4,123.749442,-75.974373,270.0,top
J2,128.75,-82.5,270.0,top
JP1,108.646,-80.391,0.0,top
JP10,120.781,-85.471,180.0,top
JP11,108.646,-86.741,180.0,top
JP12,120.781,-86.741,180.0,top
JP2,120.846,-80.391,0.0,top
JP3,108.646,-81.661,0.0,top
JP4,120.846,-81.661,0.0,top
JP5,108.646,-82.931,0.0,top
JP6,120.781,-82.931,0.0,top
JP7,108.646,-84.201,180.0,top
JP8,120.781,-84.201,180.0,top
JP9,108.646,-85.471,180.0,top
L1,117.200406,-76.48351,90.0,top
R1,109.855,-73.738298,270.0,top
R13,124.5,-89.0,180.0,top
R14,123.302168,-78.064865,0.0,top
R15,121.450406,-78.058122,0.0,top
R2,113.03,-73.66,270.0,top
R3,110.998,-76.835,270.0,top
R4,114.437926,-73.66,90.0,top
R5,111.506,-91.186,270.0,top
R6,123.063,-89.535,90.0,top
R7,112.014,-76.835,90.0,top
U1,120.82238,-75.881225,0.0,top
U2,114.681,-84.836,270.0,top
U3,113.1,-82.5,270.0,bottom
Y1,108.905989,-91.186465,0.0,top
