pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
107.315,-89.408,0.0,top,C1,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
108.585,-73.719836,-90.0,top,C11,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
118.565517,-73.661241,0.0,top,C12,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
119.604047,-78.055779,0.0,top,C2,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
107.315,-73.72445,-90.0,top,C3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
109.22,-89.408,0.0,top,C4,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
121.158,-73.177632,180.0,top,C5,GRM21BR6YA106KE43L,,C_0805_2012Metric,10uF,smt
118.559221,-72.73351,0.0,top,C8,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
123.302168,-79.072365,180.0,top,C9,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
124.5,-91.0,90.0,top,D1,1N5819WS,,D_SOD-323,1N5819WS,smt
124.5,-87.0,90.0,top,D2,1N5819WS,,D_SOD-323,1N5819WS,smt
111.506,-74.295,-90.0,top,D3,1N5819WS,,D_SOD-323,1N5819WS,smt
123.749442,-75.974373,-90.0,top,D4,1N5819WS,,D_SOD-323,1N5819WS,smt
128.75,-82.5,90.0,top,J2,SM12B-GHS-TB(LF)(SN),,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,SM12B-GHS-TB(LF)(SN),smt
108.1435,-80.391,0.0,top,JP1,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
121.2835,-85.471,180.0,top,JP10,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
109.1485,-86.741,180.0,top,JP11,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
121.2835,-86.741,180.0,top,JP12,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
120.3435,-80.391,0.0,top,JP2,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
108.1435,-81.661,0.0,top,JP3,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
120.3435,-81.661,0.0,top,JP4,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
108.1435,-82.931,0.0,top,JP5,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
120.2785,-82.931,0.0,top,JP6,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
109.1485,-84.201,180.0,top,JP7,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
121.2835,-84.201,180.0,top,JP8,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
109.1485,-85.471,180.0,top,JP9,RTT02000JTH,,SolderJumper-3_P1.3mm_BridgedSMD12_0402,0R,tht
117.200406,-76.48351,90.0,top,L1, LQM2HPN4R7MG0L,,L_1008_2520Metric,4.7uH,smt
109.855,-73.738298,-90.0,top,R1,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
124.5,-89.0,180.0,top,R13,0402WGF1000TCE,,R_0402_1005Metric,100R,smt
123.302168,-78.064865,0.0,top,R14,0402WGF1823TCE,,R_0402_1005Metric,182k,smt
121.450406,-78.058122,0.0,top,R15,RC0402FR-0762KL,,R_0402_1005Metric,62k,smt
113.03,-73.66,-90.0,top,R2,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
110.998,-76.835,-90.0,top,R3,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
114.437926,-73.66,90.0,top,R4,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
111.506,-91.186,-90.0,top,R5,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
123.063,-89.535,90.0,top,R6,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
112.014,-76.835,90.0,top,R7,RTT023093FTH,,R_0402_1005Metric,309k,smt
120.82238,-75.881225,180.0,top,U1,AP63201WU-7,,TSOT-23-6,AP63201WU,smt
114.681,-84.836,0.0,top,U2,TBD62003AFWG,,SOIC-16_3.9x9.9mm_P1.27mm,TBD62003AFWG,smt
113.1,-82.5,-90.0,bottom,U3,ESP32-C3-WROOM-02-N4,,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,smt
108.905989,-91.186465,0.0,top,Y1,Q13FC13500004,,Crystal_SMD_3215-2Pin_3.2x1.5mm,32.768khz 3215 12.5pf,smt
